cell_type,exp_type,exp_trial,cell_donor,virus_date,virus_vol_ul,x_data_type,X,y_data_type,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,2,count_tot,813000,886400,907500,,,,,
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,4,count_tot,978775,1018412.5,1205900,,,,,
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,6,count_tot,830250,971550,995775,,,,,
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,2,count_dead,139411.8772,144418.4737,151351.81,,,,,
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,4,count_dead,372089.1404,427581.7847,517461.0463,,,,,
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,6,count_dead,477311.912,575623.125,587263.0244,,,,,
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,2,frac_inf,4.52E-06,0,4.10E-06,,,,,
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,4,frac_inf,9.01E-06,0,3.59E-06,,,,,
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,6,frac_inf,0,0,0,,,,,
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,2,dead_frac_of_inf,0,,1,,,,,
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,4,dead_frac_of_inf,0,,1,,,,,
act,timeseries_uninf,1,8A,2014-07-19,0,time_d,6,dead_frac_of_inf,,,,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,2,count_tot,740450,826100,841600,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,4,count_tot,866625,928200,893850,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,6,count_tot,909500,881550,810300,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,2,count_dead,139085.3378,160588.8191,165377.8468,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,4,count_dead,374972.1469,437162.9977,400726.8769,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,6,count_dead,628498.314,608427.4372,554017.9904,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,2,frac_inf,1.51E-05,2.35E-05,1.67E-05,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,4,frac_inf,2.07E-05,7.25E-06,1.49E-05,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,6,frac_inf,2.15E-05,2.25E-05,3.63E-06,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,2,dead_frac_of_inf,0.5,0.571428571,0.6,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,4,dead_frac_of_inf,0.4,0,0.75,,,,,
act,timeseries_uninf,2,8B,2014-07-19,0,time_d,6,dead_frac_of_inf,0.6,0.8,0,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,2,count_tot,1438500,1246200,1355725,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,4,count_tot,2295550,2650450,2404500,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,6,count_tot,1801250,1858450,1736500,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,2,count_dead,69738.63404,62944.93407,71147.24555,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,4,count_dead,204572.7032,251404.4164,263205.3935,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,6,count_dead,531717.7898,602424.2409,541915.127,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,2,frac_inf,1.83E-05,6.11E-06,0,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,4,frac_inf,9.16E-06,3.04E-06,2.99E-06,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,6,frac_inf,0,0,0,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,2,dead_frac_of_inf,0.166666667,0.5,,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,4,dead_frac_of_inf,0.333333333,1,0,,,,,
act,timeseries_uninf,3,43B,2015-07-15,0,time_d,6,dead_frac_of_inf,,,,,,,,
act,timeseries_inf,1,8A,2014-07-19,20,time_d,2,count_tot,560250,576000,516750,,,,,
act,timeseries_inf,1,8A,2014-07-19,20,time_d,4,count_tot,741487.5,727425,745250,,,,,
act,timeseries_inf,1,8A,2014-07-19,20,time_d,6,count_tot,872200,776625,934825,,,,,
act,timeseries_inf,1,8A,2014-07-19,20,time_d,2,count_dead,105073.8009,99467.18756,93942.83252,,,,,
act,timeseries_inf,1,8A,2014-07-19,20,time_d,4,count_dead,350805.8054,356850,374255.698,,,,,
act,timeseries_inf,1,8A,2014-07-19,20,time_d,6,count_dead,581255.713,538616.4692,633651.3753,,,,,
act,timeseries_inf,1,8A,2014-07-19,20,time_d,2,frac_inf,0.021437503,0.02436664,0.020981826,,,,,
act,timeseries_inf,1,8A,2014-07-19,20,time_d,4,frac_inf,0.047410917,0.046350786,0.042766988,,,,,
act,timeseries_inf,1,8A,2014-07-19,20,time_d,6,frac_inf,0.039850528,0.039881213,0.041174303,,,,,
act,timeseries_inf,1,8A,2014-07-19,20,time_d,2,dead_frac_of_inf,0.153462258,0.15545809,0.15525704,,,,,
act,timeseries_inf,1,8A,2014-07-19,20,time_d,4,dead_frac_of_inf,0.382282348,0.379105188,0.395256917,,,,,
